YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1901,25.42,20.11,27.64,28.16,23.1
1902,25.42,20.88,27.96,27.98,22.51
1903,25.01,19.99,27.02,28,22.33
1904,24.93,19.76,27.23,27.57,22.56
1905,24.84,18.36,26.38,28.2,23.13
1906,25.18,19.75,27.39,27.78,23.11
1907,25.02,20.51,26.53,27.74,22.88
1908,25,20.12,27.53,27.65,22.21
1909,24.96,20.08,27.14,27.32,22.9
1910,24.84,20.24,27.29,27.44,22.01
1911,25.08,20.34,26.95,27.83,22.72
1912,25.2,20.89,27.31,27.88,22.39
1913,24.95,20.28,27.01,27.57,22.5
1914,25.07,20.51,26.92,27.71,22.75
1915,25.44,20.09,27.45,28.33,23.14
1916,25.08,20.2,27.86,27.5,22.34
1917,24.54,20.16,26.16,27.3,22.14
1918,24.96,19.75,26.82,27.78,22.81
1919,25.15,20.48,27.33,27.7,22.71
1920,25.14,20.24,26.91,27.8,23.09
1921,25.45,20.87,28.46,27.69,22.5
1922,25.18,20.53,27.88,27.60,22.3
1923,25.16,20.01,27.44,27.90,22.6
1924,25.30,20.39,27.82,27.92,22.6
1925,24.97,19.40,27.50,27.57,22.7
1926,25.14,20.90,26.74,28.13,22.4
1927,25.01,20.05,26.97,27.69,22.8
1928,25.31,20.58,27.56,27.79,22.9
1929,25.15,19.99,27.77,27.71,22.6
1930,25.01,19.77,27.22,27.65,22.8
1931,25.45,20.69,27.72,28.04,22.9
1932,25.25,20.33,27.32,27.88,22.9
1933,24.91,20.27,26.78,27.46,22.8
1934,25.06,20.15,27.32,27.74,22.5
1935,25.05,20.05,27.23,27.62,22.8
1936,25.11,20.18,27.40,27.46,23.0
1937,25.00,20.23,26.99,27.88,22.4
1938,25.10,20.09,27.95,27.45,22.5
1939,25.09,20.51,26.95,27.73,22.8
1940,24.97,20.02,26.77,27.75,22.8
1941,25.61,20.33,28.17,28.05,23.3
1942,25.26,20.33,27.85,27.88,22.5
1943,24.84,19.67,26.94,27.59,22.5
1944,24.86,19.34,26.90,27.86,22.5
1945,24.69,18.88,27.05,28.00,21.8
1946,25.29,20.68,27.36,27.70,23.1
1947,25.35,20.27,27.78,28.02,22.8
1948,25.29,20.42,27.57,27.87,22.8
1949,25.16,20.53,27.52,27.76,22.4
1950,24.88,19.98,27.10,27.59,22.3
1951,25.33,20.06,27.01,28.03,23.6
1952,25.41,21.17,27.47,27.90,22.9
1953,25.58,20.75,28.28,27.89,23.0
1954,25.24,20.50,28.00,27.76,22.3
1955,25.02,20.58,27.22,27.60,22.3
1956,24.95,20.03,27.69,27.22,22.5
1957,25.15,19.93,26.86,27.92,23.2
1958,25.75,21.19,28.04,28.18,23.2
1959,25.36,20.31,27.83,27.80,23.0
